Organ1,Organ2,Col1,Col2,Gene1,Gene2,N,Correlation,P_value,Group,Sig_raw
Colon,Liver,Colon_Insr,Liver_Ghrhr,Insr,Ghrhr,4,0.07645279496452878,0.9235472050354712,IL10-KO,False
Colon,Liver,Colon_Insr,Liver_Glut1,Insr,Glut1,4,0.33964681621079174,0.6603531837892083,IL10-KO,False
Colon,Liver,Colon_Insr,Liver_Tbc1d4,Insr,Tbc1d4,4,0.6419575699099767,0.35804243009002334,IL10-KO,False
Colon,Liver,Colon_Insr,Liver_Tcf19,Insr,Tcf19,4,0.9070869768539805,0.09291302314601957,IL10-KO,False
Colon,Liver,Colon_Insr,Liver_Zfand6,Insr,Zfand6,4,0.6980707123266753,0.3019292876733246,IL10-KO,False
Colon,Pancreas,Colon_Insr,Pancreas_Glut1,Insr,Glut1,4,-0.32015803292389156,0.6798419670761084,IL10-KO,False
Colon,Pancreas,Colon_Insr,Pancreas_Ins2,Insr,Ins2,4,-0.4344625964272272,0.5655374035727729,IL10-KO,False
Colon,Pancreas,Colon_Insr,Pancreas_Insr,Insr,Insr,4,-0.9661955815332317,0.03380441846676829,IL10-KO,True
Colon,Pancreas,Colon_Insr,Pancreas_Mafa,Insr,Mafa,4,0.8369348760834421,0.16306512391655792,IL10-KO,False
Colon,Pancreas,Colon_Insr,Pancreas_Srr,Insr,Srr,4,-0.3808861768096874,0.6191138231903126,IL10-KO,False
Colon,Pancreas,Colon_Insr,Pancreas_Tbc1d4,Insr,Tbc1d4,4,-0.8092916166017168,0.19070838339828322,IL10-KO,False
Colon,Pancreas,Colon_Insr,Pancreas_Zfand6,Insr,Zfand6,4,-0.5069609187133108,0.49303908128668916,IL10-KO,False
Colon,Spleen,Colon_Insr,Spleen_Glut1,Insr,Glut1,4,-0.25770175200809975,0.7422982479919003,IL10-KO,False
Colon,Spleen,Colon_Insr,Spleen_Insr,Insr,Insr,4,0.3906563384935752,0.6093436615064247,IL10-KO,False
Colon,Spleen,Colon_Insr,Spleen_Mafa,Insr,Mafa,4,-0.330666229731035,0.669333770268965,IL10-KO,False
Colon,Spleen,Colon_Insr,Spleen_Tcf19,Insr,Tcf19,4,0.06393515182625659,0.9360648481737435,IL10-KO,False
Colon,Spleen,Colon_Insr,Spleen_Zfand6,Insr,Zfand6,4,-0.19231978757889856,0.8076802124211016,IL10-KO,False
Colon,Kidney,Colon_Mafa,Kidney_Glut1,Mafa,Glut1,4,-0.8209029571994794,0.17909704280052052,IL10-KO,False
Colon,Kidney,Colon_Mafa,Kidney_Insr,Mafa,Insr,4,-0.41842022584670097,0.5815797741532991,IL10-KO,False
Colon,Kidney,Colon_Mafa,Kidney_Mafa,Mafa,Mafa,4,-0.33195338041887956,0.6680466195811205,IL10-KO,False
Colon,Kidney,Colon_Mafa,Kidney_Zfand6,Mafa,Zfand6,4,-0.13238907708476166,0.8676109229152384,IL10-KO,False
Colon,Liver,Colon_Mafa,Liver_Ghrhr,Mafa,Ghrhr,4,0.8077758576729204,0.19222414232707963,IL10-KO,False
Colon,Liver,Colon_Mafa,Liver_Glut1,Mafa,Glut1,4,-0.1511985249500476,0.8488014750499524,IL10-KO,False
