Organ1,Organ2,Col1,Col2,Gene1,Gene2,N,Correlation,P_value,rank,BH_threshold,p_adj_BH,Sig_raw,Sig_BH
Kidney,Pancreas,Kidney_Insr,Pancreas_Srr,Insr,Srr,12,-0.4182854559549953,0.17599169613161847,106,0.018466898954703836,0.45649861998836677,False,False
Colon,Pancreas,Colon_Tcf19,Pancreas_Tbc1d4,Tcf19,Tbc1d4,12,-0.41812443903808105,0.17617535342153826,107,0.018641114982578397,0.45649861998836677,False,False
Kidney,Pancreas,Kidney_Mafa,Pancreas_Srr,Mafa,Srr,12,-0.4178245881320053,0.17651768555265732,108,0.018815331010452963,0.45649861998836677,False,False
Liver,Pancreas,Liver_Ghrhr,Pancreas_Ins1,Ghrhr,Ins1,6,0.6334365551740229,0.17692580102085997,109,0.018989547038327528,0.45649861998836677,False,False
Kidney,Liver,Kidney_Glut1,Liver_Glut1,Glut1,Glut1,12,0.41511665652517743,0.17962811100073517,110,0.019163763066202093,0.45649861998836677,False,False
Colon,Liver,Colon_Mafa,Liver_Glut1,Mafa,Glut1,12,-0.41321958651162255,0.18182738970969323,111,0.019337979094076654,0.45649861998836677,False,False
Pancreas,Spleen,Pancreas_Tbc1d4,Spleen_Insr,Tbc1d4,Insr,12,-0.4105270984409617,0.18497746598558454,112,0.019512195121951223,0.45649861998836677,False,False
Colon,Liver,Colon_Mafa,Liver_Tbc1d4,Mafa,Tbc1d4,12,-0.4092885412089803,0.18643782298038414,113,0.019686411149825785,0.45649861998836677,False,False
Liver,Spleen,Liver_Zfand6,Spleen_Zfand6,Zfand6,Zfand6,12,0.4081586285478809,0.18777629985335964,114,0.01986062717770035,0.45649861998836677,False,False
Liver,Spleen,Liver_Tbc1d4,Spleen_Zfand6,Tbc1d4,Zfand6,12,0.40707461015152113,0.18906599267660396,115,0.020034843205574915,0.45649861998836677,False,False
Kidney,Liver,Kidney_Insr,Liver_Zfand6,Insr,Zfand6,12,0.40455026206571987,0.19209049401853562,116,0.02020905923344948,0.45649861998836677,False,False
Liver,Pancreas,Liver_Zfand6,Pancreas_Zfand6,Zfand6,Zfand6,12,0.4042007646128122,0.19251157707980598,117,0.02038327526132404,0.45649861998836677,False,False
Pancreas,Spleen,Pancreas_Insr,Spleen_Tcf19,Insr,Tcf19,11,0.4212909076396393,0.19689679281321695,118,0.020557491289198607,0.45649861998836677,False,False
Kidney,Liver,Kidney_Insr,Liver_Ghrhr,Insr,Ghrhr,12,0.40054235830344515,0.19695349261350623,119,0.020731707317073172,0.45649861998836677,False,False
Kidney,Pancreas,Kidney_Glut1,Pancreas_Zfand6,Glut1,Zfand6,12,0.39905435464697875,0.19877804053628687,120,0.020905923344947737,0.45649861998836677,False,False
Kidney,Spleen,Kidney_Zfand6,Spleen_Insr,Zfand6,Insr,12,-0.3989967054164809,0.19884893637593232,121,0.0210801393728223,0.45649861998836677,False,False
Kidney,Pancreas,Kidney_Mafa,Pancreas_Glut1,Mafa,Glut1,10,-0.44366053945484385,0.19901866257068707,122,0.021254355400696867,0.45649861998836677,False,False
Colon,Pancreas,Colon_Mafa,Pancreas_Glut1,Mafa,Glut1,10,0.4435080391227433,0.19919154204926495,123,0.02142857142857143,0.45649861998836677,False,False
Colon,Kidney,Colon_Zfand6,Kidney_Glut1,Zfand6,Glut1,12,-0.3983224503831818,0.19967927354474657,124,0.021602787456445994,0.45649861998836677,False,False
Colon,Liver,Colon_Mafa,Liver_Zfand6,Mafa,Zfand6,12,-0.39782515301674126,0.20029304985698226,125,0.02177700348432056,0.45649861998836677,False,False
Kidney,Spleen,Kidney_Insr,Spleen_Mafa,Insr,Mafa,12,-0.3975802560538897,0.20059573204089615,126,0.021951219512195124,0.45649861998836677,False,False
Liver,Pancreas,Liver_Tbc1d4,Pancreas_Zfand6,Tbc1d4,Zfand6,12,0.39619193567121247,0.20231693334159673,127,0.022125435540069686,0.45649861998836677,False,False
Liver,Pancreas,Liver_Tcf19,Pancreas_Zfand6,Tcf19,Zfand6,12,0.39516555454974484,0.2035952033397594,128,0.02229965156794425,0.45649861998836677,False,False
Liver,Spleen,Liver_Glut1,Spleen_Zfand6,Glut1,Zfand6,12,0.3938862400208583,0.20519537498440307,129,0.02247386759581882,0.4565199427947572,False,False
Kidney,Liver,Kidney_Glut1,Liver_Zfand6,Glut1,Zfand6,12,0.3918707485518643,0.20773188752795604,130,0.02264808362369338,0.4568364154034919,False,False
Colon,Pancreas,Colon_Insr,Pancreas_Glut1,Insr,Glut1,10,0.4353232025492573,0.2085982854559041,131,0.022822299651567946,0.4568364154034919,False,False
Kidney,Liver,Kidney_Insr,Liver_Tbc1d4,Insr,Tbc1d4,12,0.3899923985967536,0.21011291579533425,132,0.02299651567944251,0.4568364154034919,False,False
Pancreas,Spleen,Pancreas_Zfand6,Spleen_Glut1,Zfand6,Glut1,12,-0.3883531877692301,0.21220430083927408,133,0.023170731707317076,0.4573055727911726,False,False
Pancreas,Spleen,Pancreas_Ins2,Spleen_Mafa,Ins2,Mafa,12,-0.3873304799751542,0.213515493916436,134,0.023344947735191638,0.4573055727911726,False,False
Colon,Pancreas,Colon_Insr,Pancreas_Srr,Insr,Srr,12,0.3842657029796973,0.21747411582445217,135,0.023519163763066203,0.4623338610490205,False,False
Colon,Pancreas,Colon_Zfand6,Pancreas_Ins1,Zfand6,Ins1,6,-0.587904191491598,0.21974276903288611,136,0.023693379790940768,0.46372187288557587,False,False
Colon,Pancreas,Colon_Zfand6,Pancreas_Mafa,Zfand6,Mafa,12,0.38010083941947903,0.22292419264591182,137,0.023867595818815333,0.46700177583486635,False,False
Colon,Spleen,Colon_Tcf19,Spleen_Zfand6,Tcf19,Zfand6,12,0.374503047296881,0.23037741386375893,138,0.024041811846689895,0.4763063086046218,False,False
Liver,Pancreas,Liver_Tbc1d4,Pancreas_Ins1,Tbc1d4,Ins1,6,0.5758463756388013,0.2317054916166776,139,0.024216027874564464,0.4763063086046218,False,False
Liver,Pancreas,Liver_Ghrhr,Pancreas_Mafa,Ghrhr,Mafa,12,-0.37304374473675855,0.23234454078274236,140,0.024390243902439025,0.4763063086046218,False,False
Colon,Spleen,Colon_Insr,Spleen_Zfand6,Insr,Zfand6,12,0.3693319915130346,0.23739290965103083,141,0.02456445993031359,0.48320400758755916,False,False
Pancreas,Spleen,Pancreas_Mafa,Spleen_Insr,Mafa,Insr,12,0.36427306735125164,0.24437745667955718,142,0.024738675958188155,0.49391781737347124,False,False
Colon,Spleen,Colon_Glp1r,Spleen_Zfand6,Glp1r,Zfand6,12,0.3622104120465255,0.24725960966280905,143,0.02491289198606272,0.4962483075050783,False,False
Colon,Pancreas,Colon_Insr,Pancreas_Ins1,Insr,Ins1,6,-0.5583891907534231,0.24946866666388728,144,0.025087108013937282,0.49720491203149764,False,False
Kidney,Spleen,Kidney_Glut1,Spleen_Zfand6,Glut1,Zfand6,12,0.35311603371488354,0.26020428981068944,145,0.025261324041811847,0.511930515422009,False,False
Liver,Pancreas,Liver_Glut1,Pancreas_Ins1,Glut1,Ins1,6,0.5478653969090725,0.2604245827582345,146,0.025435540069686416,0.511930515422009,False,False
Kidney,Pancreas,Kidney_Zfand6,Pancreas_Srr,Zfand6,Srr,12,-0.35024325226657105,0.2643735278294112,147,0.025609756097560978,0.5144968747814782,False,False
Kidney,Pancreas,Kidney_Mafa,Pancreas_Insr,Mafa,Insr,11,-0.36599425799412827,0.2683074593822204,148,0.02578397212543554,0.5144968747814782,False,False
Kidney,Pancreas,Kidney_Zfand6,Pancreas_Zfand6,Zfand6,Zfand6,12,0.34667504719090453,0.26960552874664523,149,0.025958188153310104,0.5144968747814782,False,False
Liver,Pancreas,Liver_Ghrhr,Pancreas_Zfand6,Ghrhr,Zfand6,12,0.34581923472296366,0.2708691960601323,150,0.026132404181184673,0.5144968747814782,False,False
Colon,Spleen,Colon_Mafa,Spleen_Tcf19,Mafa,Tcf19,12,-0.34519873153662706,0.2717875408261035,151,0.026306620209059235,0.5144968747814782,False,False
Kidney,Spleen,Kidney_Mafa,Spleen_Glut1,Mafa,Glut1,12,-0.3436556327144882,0.27407907922631597,152,0.0264808362369338,0.5144968747814782,False,False
Kidney,Spleen,Kidney_Zfand6,Spleen_Glut1,Zfand6,Glut1,12,-0.34352147977784897,0.2742788217476173,153,0.02665505226480836,0.5144968747814782,False,False
Colon,Pancreas,Colon_Mafa,Pancreas_Ins2,Mafa,Ins2,12,-0.34009849834799566,0.2794035868181606,154,0.02682926829268293,0.5207066845247538,False,False
Colon,Pancreas,Colon_Glp1r,Pancreas_Srr,Glp1r,Srr,12,0.33440446992357103,0.288048614866403,155,0.02700348432055749,0.5325670883837689,False,False
Colon,Liver,Colon_Zfand6,Liver_Tcf19,Zfand6,Tcf19,12,-0.3334717661016523,0.28947897487062,156,0.027177700348432057,0.5325670883837689,False,False
